# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-GEOD-48850
# Timestamp: Sat, 29-Jun-2024 15:01:02
Gene ID	Gene Name	'papillary thyroid carcinoma' vs 'normal' .foldChange	'papillary thyroid carcinoma' vs 'normal'.pValue
ENSG00000005108	THSD7A	-1.4	0.0100323421720786
ENSG00000005156	LIG3	-0.1	0.763768143831837
ENSG00000005175	RPAP3	0.2	0.665572800507414
ENSG00000005187	ACSM3	2.0	0.0244360306897351
ENSG00000005189	REXO5	0.9	0.0251560621737279
ENSG00000005194	CIAPIN1	0.2	0.544352156148856
ENSG00000005206	SPPL2B	-0.1	0.857017068837275
ENSG00000005238	FAM214B	0.3	0.238176375439436
ENSG00000005243	COPZ2	-0.3	0.689224455844591
ENSG00000005249	PRKAR2B	-0.2	0.82361965582059
ENSG00000005302	MSL3	0.2	0.422213395663519
ENSG00000005339	CREBBP	-0.1	0.79418849445276
ENSG00000005379	TSPOAP1	-1.5	8.97848023023866E-7
ENSG00000005421	PON1	-1.3	0.237937498764088
ENSG00000005436	GCFC2	0.1	0.926069677750754
ENSG00000005448	WDR54	0.1	0.944467320189557
ENSG00000005469	CROT	0.2	0.820532364309144
ENSG00000005471	ABCB4	0.9	0.144279301114399
ENSG00000005486	RHBDD2	0.7	0.133102614669583
ENSG00000005513	SOX8	1.1	0.144700327894243
ENSG00000005700	IBTK	0.1	0.845884979548933
ENSG00000005801	ZNF195	-0.1	0.892371862815982
ENSG00000005810	MYCBP2	-0.1	0.916184176995424
ENSG00000005812	FBXL3	-0.5	0.0823827894104412
ENSG00000005844	ITGAL	0.7	0.634807254876373
ENSG00000005882	PDK2	0.3	0.400964366788685
ENSG00000005884	ITGA3	1.0	0.00601425270352743
ENSG00000005889	ZFX	-0.1	0.942082372764573
ENSG00000005893	LAMP2	0.7	0.0746620042495068
ENSG00000005961	ITGA2B	-1.1	0.0366599451547764
ENSG00000005981	ASB4	-0.1	0.894156740757484
ENSG00000006007	GDE1	0.6	0.163699286962118
ENSG00000006015	REX1BD	0.5	0.0281767935913378
ENSG00000006016	CRLF1	1.2	0.194120409116486
ENSG00000006025	OSBPL7	0.1	0.898131601980856
ENSG00000006042	TMEM98	0.2	0.842959157956588
ENSG00000006047	YBX2	0.1	0.952286295804799
ENSG00000006062	MAP3K14	-0.9	0.200177815002193
ENSG00000006071	ABCC8	-0.4	0.747893544757813
ENSG00000006118	TMEM132A	1.6	0.00563905148311978
ENSG00000006125	AP2B1	0.3	0.054470411107186
ENSG00000006128	TAC1	-1.6	0.162371418421168
ENSG00000006210	CX3CL1	1.5	0.0223008068647515
ENSG00000006282	SPATA20	0.3	0.638044332051333
ENSG00000006283	CACNA1G	1.0	0.319106006273782
ENSG00000006327	TNFRSF12A	0.6	0.627074884919551
ENSG00000006432	MAP3K9	0.3	0.405102386316848
ENSG00000006451	RALA	0.1	0.827136621416502
ENSG00000006453	BAIAP2L1	-0.1	0.871765015956346
ENSG00000006459	KDM7A	0.1	0.787357707126738
ENSG00000006468	ETV1	1.1	0.10617569850663
ENSG00000006530	AGK	0.6	0.130455824098963
ENSG00000006534	ALDH3B1	2.1	0.00113924206197979
ENSG00000006555	TTC22	0.1	0.779562116075009
ENSG00000006576	PHTF2	0.2	0.805802035106776
ENSG00000006606	CCL26	0.8	0.584539367979636
ENSG00000006607	FARP2	-0.2	0.650095352740708
ENSG00000006611	USH1C	-1.1	0.405674806160976
ENSG00000006625	GGCT	1.6	0.00422241053064947
ENSG00000006634	DBF4	0.3	0.492042387439116
ENSG00000006638	TBXA2R	1.2	4.74803003807657E-5
ENSG00000006652	IFRD1	-0.2	0.569758037679601
ENSG00000006695	COX10	-0.1	0.8817052861012
ENSG00000006704	GTF2IRD1	0.4	0.560270794105197
ENSG00000006712	PAF1	-0.1	0.716163716319679
ENSG00000006715	VPS41	0.2	0.678230719515869
ENSG00000006740	ARHGAP44	-0.8	0.157073048357573
ENSG00000006744	ELAC2	0.4	0.226538811396487
ENSG00000006747	SCIN	0.2	0.897764767636218
ENSG00000006756	ARSD	0.1	0.832696958175972
ENSG00000006757	PNPLA4	0.1	0.87947635546152
ENSG00000006831	ADIPOR2	0.1	0.898513430300603
ENSG00000006837	CDKL3	-0.2	0.770650563465637
ENSG00000007001	UPP2	0.1	0.888726195644536
ENSG00000007062	PROM1	-0.8	0.580419113860205
ENSG00000007080	CCDC124	0.3	0.146927194023663
ENSG00000007129	CEACAM21	0.7	0.59884707970487
ENSG00000007168	PAFAH1B1	0.1	0.788019845313161
ENSG00000007171	NOS2	0.7	0.482732868100536
ENSG00000007174	DNAH9	0.2	0.894462629271718
ENSG00000007202	KIAA0100	0.4	0.19864671098362
ENSG00000007237	GAS7	1.4	0.142329458549015
ENSG00000007255	TRAPPC6A	-0.3	0.64834518748865
ENSG00000007264	MATK	0.7	0.597638988925814
ENSG00000007312	CD79B	0.9	0.558911148599687
ENSG00000007314	SCN4A	1.5	0.0169132625327858
ENSG00000007341	ST7L	-0.1	0.773462242190625
ENSG00000007376	RPUSD1	0.4	0.0158810925616509
ENSG00000007384	RHBDF1	0.6	0.379449965991754
ENSG00000007392	LUC7L	-0.3	0.659586633574697
ENSG00000007402	CACNA2D2	0.8	0.274703672973159
ENSG00000007516	BAIAP3	2.7	0.00195220785874494
ENSG00000007520	TSR3	0.2	0.288391599962649
ENSG00000007541	PIGQ	0.5	0.0569012557097692
ENSG00000007545	CRAMP1	-0.2	0.492670881234526
ENSG00000007866	TEAD3	0.1	0.848024315501673
ENSG00000007908	SELE	-1.4	0.132886373277627
ENSG00000007923	DNAJC11	0.1	0.852119540097061
ENSG00000007933	FMO3	0.2	0.884260694774987
ENSG00000007944	MYLIP	-0.3	0.624060269978491
ENSG00000007952	NOX1	0.5	0.515038692777698
ENSG00000007968	E2F2	1.1	0.0995334960023869
ENSG00000008018	PSMB1	0.2	0.559706731964217
ENSG00000008056	SYN1	1.9	0.0740533285117525
ENSG00000008083	JARID2	0.4	0.380842675799794
ENSG00000008118	CAMK1G	1.2	0.155751619432943
ENSG00000008128	CDK11A	-0.2	0.748997348291379
ENSG00000008130	NADK	0.5	0.217400552210511
ENSG00000008226	DLEC1	0.7	0.527612149339278
ENSG00000008256	CYTH3	-0.6	0.248503950886062
ENSG00000008277	ADAM22	-0.7	0.38099531930531
ENSG00000008282	SYPL1	-0.1	0.827752061150853
ENSG00000008283	CYB561	0.1	0.869391609335655
ENSG00000008294	SPAG9	0.1	0.859873301212331
ENSG00000008300	CELSR3	0.1	0.783257797278249
ENSG00000008311	AASS	-0.8	0.34491832103166
ENSG00000008324	SS18L2	-0.4	0.16609586935744
ENSG00000008382	MPND	0.4	0.275561968688682
ENSG00000008394	MGST1	1.0	0.0274142434721747
ENSG00000008405	CRY1	-0.5	0.0507918560099694
ENSG00000008441	NFIX	0.3	0.636326823103424
ENSG00000008513	ST3GAL1	0.3	0.635346503763054
ENSG00000008516	MMP25	-0.3	0.780916410494747
ENSG00000008517	IL32	0.1	0.931528487167592
ENSG00000008710	PKD1	-0.4	0.0663454690272882
ENSG00000008735	MAPK8IP2	-1.4	1.2992313166042E-6
ENSG00000008853	RHOBTB2	0.3	0.640557381014794
ENSG00000008869	HEATR5B	-0.1	0.791208110257671
ENSG00000008952	SEC62	-0.2	0.616319149823615
ENSG00000008988	RPS20	0.2	0.788770809496898
ENSG00000009335	UBE3C	0.5	0.0731494784149348
ENSG00000009413	REV3L	-0.3	0.51785579658946
ENSG00000009694	TENM1	3.4	7.21769070656124E-5
ENSG00000009724	MASP2	-0.9	0.0795004155833704
ENSG00000009765	IYD	-1.0	0.0549078433300412
ENSG00000009780	FAM76A	-0.2	0.658198093038944
ENSG00000009790	TRAF3IP3	0.5	0.754813712853333
ENSG00000009830	POMT2	0.3	0.657651180366454
ENSG00000009844	VTA1	-0.1	0.880699023584724
ENSG00000009950	MLXIPL	0.8	0.442609221362101
ENSG00000009954	BAZ1B	0.4	0.220382559074381
ENSG00000010017	RANBP9	0.2	0.332043982269665
ENSG00000010030	ETV7	0.7	0.589045493281124
ENSG00000010072	SPRTN	-0.1	0.808720369167519
ENSG00000010165	EEF1AKNMT	0.3	0.0706310851900738
ENSG00000010219	DYRK4	0.4	0.219182755966311
ENSG00000010256	UQCRC1	0.3	0.265584784108143
ENSG00000010270	STARD3NL	-0.3	0.363769361357389
ENSG00000010278	CD9	0.3	0.266595261189891
ENSG00000010282	HHATL	0.8	0.323806037112659
ENSG00000010292	NCAPD2	0.2	0.511858001827642
ENSG00000010310	GIPR	1.7	0.0834443695207511
ENSG00000010318	PHF7	0.4	0.388801131191963
ENSG00000010319	SEMA3G	0.9	0.00992334600521002
ENSG00000010327	STAB1	0.6	0.173865702923026
ENSG00000010361	FUZ	0.4	0.618482127043578
ENSG00000010379	SLC6A13	-0.3	0.779562116075009
ENSG00000010404	IDS	0.4	0.415376531380152
ENSG00000010438	PRSS3	1.9	0.0357750182922862
ENSG00000010539	ZNF200	0.2	0.116439061836367
ENSG00000010610	CD4	1.1	0.295822296966816
ENSG00000010626	LRRC23	-0.1	0.820163179892297
ENSG00000010671	BTK	0.8	0.545094068368443
ENSG00000010704	HFE	0.1	0.844581973122155
ENSG00000010803	SCMH1	-0.1	0.784209770537925
ENSG00000010810	FYN	1.1	1.30367689300488E-6
ENSG00000010818	HIVEP2	-0.1	0.825420205584731
ENSG00000010932	FMO1	-1.5	0.0676531667312651
ENSG00000011007	ELOA	0.2	0.579078692044422
ENSG00000011009	LYPLA2	0.9	0.0226842240532302
ENSG00000011021	CLCN6	-0.3	0.306701613367114
ENSG00000011028	MRC2	2.5	0.00824339406645743
ENSG00000011052	NME1-NME2	0.4	0.735709654310997
ENSG00000011105	TSPAN9	0.5	0.256839707643428
ENSG00000011132	APBA3	-0.1	0.827542459310292
ENSG00000011143	MKS1	-0.1	0.796198376208453
ENSG00000011201	ANOS1	0.6	0.489306880443257
ENSG00000011243	AKAP8L	-0.2	0.352993675611395
ENSG00000011258	MBTD1	0.2	0.76141720181306
ENSG00000011260	UTP18	0.1	0.772708761404041
ENSG00000011275	RNF216	0.1	0.800982870537979
ENSG00000011295	TTC19	-0.1	0.661754688435773
ENSG00000011304	PTBP1	-0.1	0.770765690099914
ENSG00000011332	DPF1	0.4	0.736305396467412
ENSG00000011376	LARS2	0.5	0.402437289229153
ENSG00000011405	PIK3C2A	-0.4	0.280204704207149
ENSG00000011422	PLAUR	1.0	0.367559036616411
ENSG00000011426	ANLN	1.5	7.42862935748523E-4
ENSG00000011454	RABGAP1	-0.4	0.323939466003419
ENSG00000011465	DCN	-1.6	0.168041695915901
ENSG00000011478	QPCTL	-0.2	0.349312190648155
ENSG00000011485	PPP5C	0.5	0.00511057972834322
ENSG00000011523	CEP68	-0.5	0.288579096997314
ENSG00000011566	MAP4K3	-0.4	0.334970111237016
ENSG00000011590	ZBTB32	-0.1	0.911820934130851
ENSG00000011600	TYROBP	1.2	0.322241871269444
ENSG00000011638	TMEM159	0.5	0.306782136727636
ENSG00000012048	BRCA1	0.2	0.83170606827652
ENSG00000012061	ERCC1	0.2	0.535727320948487
ENSG00000012124	CD22	1.1	0.305010687759123
ENSG00000012171	SEMA3B	-1.1	0.0483125971073436
ENSG00000012174	MBTPS2	0.2	0.542294377091342
ENSG00000012211	PRICKLE3	0.3	0.321794893004365
ENSG00000012223	LTF	-0.2	0.908330890075579
ENSG00000012232	EXTL3	0.2	0.725631422334482
ENSG00000012660	ELOVL5	-1.1	7.97811309289305E-4
ENSG00000012779	ALOX5	1.7	0.083928348789632
ENSG00000012822	CALCOCO1	0.7	0.284283197441465
ENSG00000012983	MAP4K5	-0.1	0.877352169763457
ENSG00000013016	EHD3	-0.1	0.928658606762192
ENSG00000013275	PSMC4	0.3	0.2402013045832
ENSG00000013288	MAN2B2	0.3	0.566895729211876
ENSG00000013293	SLC7A14	-0.1	0.962091946453583
ENSG00000013297	CLDN11	1.5	0.139598775927389
ENSG00000013306	SLC25A39	0.4	0.321545156901126
ENSG00000013364	MVP	1.6	0.00549623111539606
ENSG00000013374	NUB1	0.4	0.0183924518462116
ENSG00000013392	RWDD2A	-0.2	0.62676650971446
ENSG00000013441	CLK1	-0.6	0.330293389883814
ENSG00000013503	POLR3B	0.3	0.609181693067192
ENSG00000013523	ANGEL1	0.3	0.487844611957797
ENSG00000013561	RNF14	0.2	0.586392075444299
ENSG00000013563	DNASE1L1	0.4	0.10839487501491
ENSG00000013573	DDX11	-0.2	0.89203688039132
ENSG00000013583	HEBP1	-0.2	0.85683700484916
ENSG00000013588	GPRC5A	-0.5	0.432325728095951
ENSG00000013619	MAMLD1	3.0	1.60027399008366E-4
ENSG00000013725	CD6	0.5	0.749408267104145
ENSG00000013810	TACC3	0.5	0.483353586401116
ENSG00000014138	POLA2	-0.2	0.712622573515416
ENSG00000014164	ZC3H3	-0.2	0.537218466212883
ENSG00000014216	CAPN1	0.1	0.834369418403742
ENSG00000014257	ACP3	0.8	0.162168778126961
ENSG00000014641	MDH1	0.2	0.380442210065108
ENSG00000014824	SLC30A9	0.1	0.832696958175972
ENSG00000014914	MTMR11	1.4	0.12293838051987
ENSG00000014919	COX15	0.1	0.837512633669184
ENSG00000015133	CCDC88C	1.0	0.27493530017941
ENSG00000015153	YAF2	0.8	0.106094536215172
ENSG00000015171	ZMYND11	-0.4	0.0575713588390901
ENSG00000015285	WAS	0.7	0.605176659193585
ENSG00000015413	DPEP1	1.6	0.168568803507849
ENSG00000015475	BID	1.7	0.00189034578023607
ENSG00000015479	MATR3	-0.2	0.773097578598822
ENSG00000015532	XYLT2	0.5	0.200369599442887
ENSG00000015676	NUDCD3	0.4	0.157460998910925
ENSG00000016391	CHDH	0.4	0.66924017795329
ENSG00000016402	IL20RA	-0.9	0.427933498434465
ENSG00000016864	GLT8D1	0.3	0.656150117427297
ENSG00000017260	ATP2C1	0.1	0.636388711582105
ENSG00000017427	IGF1	1.4	0.130161149248644
ENSG00000017483	SLC38A5	1.1	0.242057890607296
ENSG00000017797	RALBP1	0.3	0.477385968839365
ENSG00000018189	RUFY3	-0.3	0.172916365347738
ENSG00000018236	CNTN1	-2.0	0.00272575821091202
ENSG00000018280	SLC11A1	0.4	0.763067868803987
ENSG00000018408	WWTR1	-0.3	0.288619232502092
ENSG00000018510	AGPS	0.1	0.783408828912137
ENSG00000018610	STEEP1	0.2	0.656255320992656
ENSG00000018625	ATP1A2	-0.9	0.242827453570288
ENSG00000018869	ZNF582	-0.1	0.830584080197659
ENSG00000019102	VSIG2	-1.0	0.188751181013855
ENSG00000019144	PHLDB1	0.1	0.866762425117149
ENSG00000019186	CYP24A1	0.1	0.963934266859255
ENSG00000019485	PRDM11	-0.9	0.0274653450145628
ENSG00000019549	SNAI2	0.2	0.82184197923987
ENSG00000019582	CD74	1.1	0.300434206549896
ENSG00000019991	HGF	-0.3	0.78207950510047
ENSG00000019995	ZRANB1	-0.3	0.379941809765092
ENSG00000020129	NCDN	0.6	0.116265107193833
ENSG00000020181	ADGRA2	-0.4	0.617465523172222
ENSG00000020256	ZFP64	0.2	0.515487278905851
ENSG00000020577	SAMD4A	1.9	0.00134739126919862
ENSG00000020633	RUNX3	0.3	0.834535360221667
ENSG00000020922	MRE11	-0.3	0.123961658414137
ENSG00000021300	PLEKHB1	0.1	0.963763467933036
ENSG00000021355	SERPINB1	0.2	0.573104692785391
ENSG00000021488	SLC7A9	-0.9	0.114544542197047
ENSG00000021574	SPAST	0.3	0.373281697010501
ENSG00000021645	NRXN3	0.5	0.559388422107734
ENSG00000021762	OSBPL5	-0.1	0.875824328840501
ENSG00000021776	AQR	0.1	0.716566641011813
ENSG00000021826	CPS1	-0.9	0.348170753925641
ENSG00000022267	FHL1	0.1	0.972905219826997
ENSG00000022277	RTF2	0.1	0.808305079867692
ENSG00000022556	NLRP2	-1.0	0.454804690240144
ENSG00000022567	SLC45A4	0.2	0.77772537909708
ENSG00000022840	RNF10	0.4	0.109756951306729
ENSG00000023041	ZDHHC6	-0.4	0.129554274262438
ENSG00000023171	GRAMD1B	0.7	0.247118328851592
ENSG00000023228	NDUFS1	0.2	0.799296885789653
ENSG00000023287	RB1CC1	-0.2	0.557821597867353
ENSG00000023318	ERP44	0.2	0.526151186977876
ENSG00000023330	ALAS1	0.2	0.491155925382162
ENSG00000023445	BIRC3	0.1	0.933059963846675
ENSG00000023516	AKAP11	-0.2	0.373637156201276
ENSG00000023572	GLRX2	-0.2	0.534299450496691
ENSG00000023608	SNAPC1	0.1	0.784883579011739
ENSG00000023697	DERA	0.2	0.34319403528123
ENSG00000023734	STRAP	0.4	0.392617473362481
ENSG00000023892	DEF6	0.4	0.713756293644127
ENSG00000023902	PLEKHO1	-0.2	0.861849587080953
ENSG00000023909	GCLM	-0.1	0.877752913155433
ENSG00000024048	UBR2	-0.1	0.681988703303574
ENSG00000024422	EHD2	0.3	0.784627482384069
ENSG00000024526	DEPDC1	0.9	0.195327804051245
ENSG00000025039	RRAGD	-0.2	0.847733317293137
ENSG00000025156	HSF2	-0.4	0.041331373243929
ENSG00000025423	HSD17B6	-0.4	0.74199431455279
ENSG00000025434	NR1H3	0.8	0.494118321299971
ENSG00000025708	TYMP	0.7	0.517315074316884
ENSG00000025770	NCAPH2	-0.4	0.026739160087527
ENSG00000025772	TOMM34	0.5	0.0622392639975687
ENSG00000025796	SEC63	0.1	0.759808378459488
ENSG00000025800	KPNA6	0.4	0.117273378284486
ENSG00000026025	VIM	0.3	0.631210604297347
ENSG00000026036	RTEL1-TNFRSF6B	-0.7	0.383444375945545
ENSG00000026103	FAS	0.5	0.694822709653164
ENSG00000026297	RNASET2	-1.1	0.00101076538380318
ENSG00000026508	CD44	1.7	1.08619965496201E-5
ENSG00000026559	KCNG1	0.9	0.492824389627452
ENSG00000026652	AGPAT4	-2.0	1.02378169893328E-5
ENSG00000026751	SLAMF7	0.9	0.551456414718367
ENSG00000026950	BTN3A1	0.4	0.731973936756516
ENSG00000027001	MIPEP	0.1	0.836269424465075
ENSG00000027075	PRKCH	0.6	0.309838222109815
ENSG00000027644	INSRR	0.9	0.506698715987961
ENSG00000027697	IFNGR1	0.5	0.23946930416534
ENSG00000027847	B4GALT7	0.4	0.357971811771743
ENSG00000027869	SH2D2A	1.0	0.315385028671291
ENSG00000028116	VRK2	-0.2	0.597638988925814
ENSG00000028137	TNFRSF1B	1.0	0.312527551389177
ENSG00000028277	POU2F2	0.7	0.61264660070073
ENSG00000028310	BRD9	0.1	0.852782539411889
ENSG00000028528	SNX1	0.7	0.122232853530828
ENSG00000028839	TBPL1	-0.2	0.651874749730719
ENSG00000029153	ARNTL2	0.6	0.461419943266738
ENSG00000029363	BCLAF1	-0.1	0.396984745722063
ENSG00000029364	SLC39A9	0.2	0.700012342781348
ENSG00000029559	IBSP	2.2	0.0636285798318212
ENSG00000029639	TFB1M	0.2	0.463358309844327
ENSG00000029993	HMGB3	0.4	0.59187597336949
ENSG00000030066	NUP160	-0.2	0.673575492256929
ENSG00000030110	BAK1	0.4	0.259084713646199
ENSG00000030419	IKZF2	1.1	0.0195849387466587
ENSG00000030582	GRN	0.6	0.0402496869755437
ENSG00000031003	FAM13B	-0.2	0.566757385014335
ENSG00000031081	ARHGAP31	-0.3	0.499818267604107
ENSG00000031691	CENPQ	-0.3	0.545233401617085
ENSG00000031698	SARS1	0.3	0.0641034199795176
ENSG00000031823	RANBP3	0.1	0.690320042439163
ENSG00000032219	ARID4A	-0.1	0.66096844238044
ENSG00000032389	EIPR1	-0.1	0.892061602668765
ENSG00000032444	PNPLA6	0.1	0.756132147637349
ENSG00000032742	IFT88	-0.4	0.0132060707105917
ENSG00000033011	ALG1	0.5	0.1751200973487
ENSG00000033030	ZCCHC8	-0.1	0.634733044445242
ENSG00000033050	ABCF2	0.4	0.121070364995358
ENSG00000033100	CHPF2	0.6	0.171409095009054
ENSG00000033122	LRRC7	-0.9	0.38305202945202
ENSG00000033170	FUT8	0.3	0.672484177933563
ENSG00000033327	GAB2	0.8	0.124332333928269
ENSG00000033627	ATP6V0A1	0.1	0.804418863477175
ENSG00000033800	PIAS1	-0.4	0.198740822548306
ENSG00000034053	APBA2	0.3	0.823581197582945
ENSG00000034152	MAP2K3	0.1	0.849141389473285
ENSG00000034239	EFCAB1	-1.3	0.209193973738591
ENSG00000034510	TMSB10	1.1	0.0613604978260207
ENSG00000034533	ASTE1	-0.4	0.116887065368538
ENSG00000034693	PEX3	-0.2	0.322862198163431
ENSG00000034971	MYOC	-1.7	0.170754445762279
ENSG00000035141	FAM136A	0.2	0.509226374003642
ENSG00000035403	VCL	0.5	0.236710110217862
ENSG00000035499	DEPDC1B	2.0	0.0166003227578993
ENSG00000035664	DAPK2	0.6	0.564266499535471
ENSG00000035687	ADSS2	0.3	0.308330757577162
ENSG00000035720	STAP1	0.5	0.795943071004961
ENSG00000035862	TIMP2	-0.2	0.811950957240789
ENSG00000035928	RFC1	-0.1	0.892590111802536
ENSG00000036054	TBC1D23	0.1	0.731908083931406
ENSG00000036448	MYOM2	0.3	0.702588622461173
ENSG00000036473	OTC	-2.5	0.015590657007126
ENSG00000036530	CYP46A1	-0.4	0.581127437449272
ENSG00000036549	ZZZ3	-0.1	0.808629442196635
ENSG00000036672	USP2	-1.0	0.00832661752488534
ENSG00000036828	CASR	-1.9	0.0604029562864392
ENSG00000037042	TUBG2	0.1	0.883679551680249
ENSG00000037241	RPL26L1	0.3	0.434003616454529
ENSG00000037280	FLT4	-0.8	0.0941753666698632
ENSG00000037474	NSUN2	0.3	0.295015501866642
ENSG00000037749	MFAP3	0.2	0.794229681314777
ENSG00000037757	MRI1	-0.3	0.545945432080729
ENSG00000037897	METTL1	0.2	0.76937699751618
ENSG00000038002	AGA	0.4	0.276607785862017
ENSG00000038210	PI4K2B	-0.3	0.691493930951048
ENSG00000038219	BOD1L1	-0.1	0.894056970158334
ENSG00000038274	MAT2B	0.2	0.667224493246784
ENSG00000038295	TLL1	-0.6	0.454788309152937
ENSG00000038358	EDC4	-0.2	0.516603743769397
ENSG00000038382	TRIO	-0.1	0.932226396063594
ENSG00000038427	VCAN	0.6	0.568784974222271
ENSG00000038532	CLEC16A	0.5	0.00350850100628099
ENSG00000038945	MSR1	0.9	0.459823238483347
ENSG00000039068	CDH1	0.5	0.513088566498869
ENSG00000039123	MTREX	0.1	0.912690319319213
ENSG00000039139	DNAH5	-0.6	0.566757385014335
ENSG00000039319	ZFYVE16	-0.2	0.394382673118462
ENSG00000039523	RIPOR1	-0.6	0.00188101328834637
ENSG00000039537	C6	-0.9	0.561888235401107
ENSG00000039560	RAI14	0.4	0.476307569644441
ENSG00000039600	SOX30	1.1	0.0384392383248416
ENSG00000039650	PNKP	0.3	0.51468360178989
ENSG00000040199	PHLPP2	-0.4	0.577084261519033
ENSG00000040341	STAU2	0.1	0.64908579197766
ENSG00000040487	SLC66A1	0.3	0.0753208401962091
ENSG00000040531	CTNS	0.1	0.814334605424777
ENSG00000040608	RTN4R	0.9	0.222208382391752
ENSG00000040633	PHF23	0.5	0.16918600951774
ENSG00000040933	INPP4A	0.7	0.0273127053229743
ENSG00000041357	PSMA4	0.1	0.875276311196321
ENSG00000041515	MYO16	-1.0	0.354784147257796
ENSG00000041802	LSG1	0.3	0.595800687093325
ENSG00000041880	PARP3	0.4	0.481502241066118
ENSG00000041982	TNC	2.2	0.0231887880897552
